,dataset,framework,metric,value
349,amazon-google,Magellan RF,prec,0.7479387514723204
350,dblp-scholar,Magellan XGBoost,prec,0.9991961414790996
351,dblp-scholar,Magellan RF,prec,0.999196572040707
352,dblp-scholar,Magellan XGBoost,prec,0.996530557779557
353,dblp-scholar,Magellan RF,prec,0.9967991464390504
354,dblp-scholar,Magellan XGBoost,prec,0.9989287627209428
355,dblp-scholar,Magellan RF,prec,0.999196356817573
356,dblp-scholar,Magellan XGBoost,prec,0.9959914484233029
357,dblp-scholar,Magellan RF,prec,0.9986598767086572
358,dblp-scholar,Magellan XGBoost,prec,0.9983905579399142
359,dblp-scholar,Magellan RF,prec,0.9989267507378587
360,imdb-tmdb,Magellan XGBoost,prec,0.9985486211901308
361,imdb-tmdb,Magellan RF,prec,0.9963924963924964
362,imdb-tmdb,Magellan XGBoost,prec,0.9956204379562044
363,imdb-tmdb,Magellan RF,prec,0.997824510514866
364,imdb-tmdb,Magellan XGBoost,prec,0.997824510514866
365,imdb-tmdb,Magellan RF,prec,0.9971098265895952
366,imdb-tmdb,Magellan XGBoost,prec,0.998551774076756
367,imdb-tmdb,Magellan RF,prec,0.9971056439942112
368,imdb-tmdb,Magellan XGBoost,prec,0.997080291970803
369,imdb-tmdb,Magellan RF,prec,0.9963741841914432
370,tmdb-tvdb,Magellan XGBoost,prec,0.9913892078071184
371,tmdb-tvdb,Magellan RF,prec,0.9925544100801832
372,tmdb-tvdb,Magellan XGBoost,prec,0.9936708860759492
373,tmdb-tvdb,Magellan RF,prec,0.9936745255894192
374,tmdb-tvdb,Magellan XGBoost,prec,0.99252443933295
375,tmdb-tvdb,Magellan RF,prec,0.9925629290617848
376,tmdb-tvdb,Magellan XGBoost,prec,0.9925458715596329
377,tmdb-tvdb,Magellan RF,prec,0.9925629290617848
378,tmdb-tvdb,Magellan XGBoost,prec,0.9936998854524628
379,tmdb-tvdb,Magellan RF,prec,0.9959816303099884
380,dblp-acm,Magellan XGBoost,prec,0.9993556701030928
381,dblp-acm,Magellan RF,prec,1.0
382,dblp-acm,Magellan XGBoost,prec,0.9987129987129988
383,dblp-acm,Magellan RF,prec,1.0
384,dblp-acm,Magellan XGBoost,prec,0.9974375400384368
385,dblp-acm,Magellan RF,prec,0.9993577392421324
386,dblp-acm,Magellan XGBoost,prec,0.9993581514762516
387,dblp-acm,Magellan RF,prec,1.0
388,dblp-acm,Magellan XGBoost,prec,0.9993556701030928
389,dblp-acm,Magellan RF,prec,1.0
390,imdb-tvdb,Magellan XGBoost,prec,0.9902522935779816
391,imdb-tvdb,Magellan RF,prec,0.9885844748858448
392,imdb-tvdb,Magellan XGBoost,prec,0.996545768566494
393,imdb-tvdb,Magellan RF,prec,0.9965517241379309
394,imdb-tvdb,Magellan XGBoost,prec,0.9942429476108232
395,imdb-tvdb,Magellan RF,prec,0.9948394495412844
396,imdb-tvdb,Magellan XGBoost,prec,0.9965596330275228
397,imdb-tvdb,Magellan RF,prec,0.9965576592082616
398,imdb-tvdb,Magellan XGBoost,prec,0.9897377423033068
399,imdb-tvdb,Magellan RF,prec,0.9954233409610984
400,abt-buy,EAGER MLP,prec,0.976470588235294
401,abt-buy,EAGER RF,prec,0.9752604166666666
402,abt-buy,EAGER MLP,prec,0.982620320855615
403,abt-buy,EAGER RF,prec,0.9753246753246754
404,abt-buy,EAGER MLP,prec,0.9725130890052356
405,abt-buy,EAGER RF,prec,0.9739583333333334
406,abt-buy,EAGER MLP,prec,0.9702072538860104
407,abt-buy,EAGER RF,prec,0.9724409448818898
408,abt-buy,EAGER MLP,prec,0.9865951742627346
409,abt-buy,EAGER RF,prec,0.9760956175298804
410,amazon-google,EAGER MLP,prec,0.9887260428410372
411,amazon-google,EAGER RF,prec,0.9747252747252748
412,amazon-google,EAGER MLP,prec,0.9809843400447428
413,amazon-google,EAGER RF,prec,0.9738562091503268
414,amazon-google,EAGER MLP,prec,0.9792349726775956
415,amazon-google,EAGER RF,prec,0.974863387978142
416,amazon-google,EAGER MLP,prec,0.9875141884222476
417,amazon-google,EAGER RF,prec,0.9866369710467706
418,amazon-google,EAGER MLP,prec,0.9931895573212258
419,amazon-google,EAGER RF,prec,0.9855072463768116
420,dblp-scholar,EAGER MLP,prec,0.9975871313672924
421,dblp-scholar,EAGER RF,prec,0.9986609534011784
422,dblp-scholar,EAGER MLP,prec,0.9981101511879048
423,dblp-scholar,EAGER RF,prec,0.9989279013669258
424,dblp-scholar,EAGER MLP,prec,0.9957184907679956
425,dblp-scholar,EAGER RF,prec,0.99812734082397
426,dblp-scholar,EAGER MLP,prec,0.9933101418249932
427,dblp-scholar,EAGER RF,prec,0.9981288425554664
428,dblp-scholar,EAGER MLP,prec,0.9975760840290869
429,dblp-scholar,EAGER RF,prec,0.99892530897367
430,dblp-acm,EAGER MLP,prec,0.9987121699935608
431,dblp-acm,EAGER RF,prec,0.9987146529562982
432,dblp-acm,EAGER MLP,prec,1.0
433,dblp-acm,EAGER RF,prec,0.999354422207876
434,dblp-acm,EAGER MLP,prec,1.0
435,dblp-acm,EAGER RF,prec,1.0
436,dblp-acm,EAGER MLP,prec,1.0
437,dblp-acm,EAGER RF,prec,1.0
438,dblp-acm,EAGER MLP,prec,0.9987096774193548
439,dblp-acm,EAGER RF,prec,0.9987113402061856
440,imdb-tmdb,EAGER MLP,prec,0.9985390796201608
441,imdb-tmdb,EAGER RF,prec,0.997800586510264
442,imdb-tmdb,EAGER MLP,prec,0.9978165938864628
443,imdb-tmdb,EAGER RF,prec,0.9985433357611072
444,imdb-tmdb,EAGER MLP,prec,1.0
445,imdb-tmdb,EAGER RF,prec,1.0
446,imdb-tmdb,EAGER MLP,prec,0.9978213507625272
447,imdb-tmdb,EAGER RF,prec,0.9970930232558141
448,imdb-tmdb,EAGER MLP,prec,0.9970993473531544
449,imdb-tmdb,EAGER RF,prec,0.998546511627907
450,tmdb-tvdb,EAGER MLP,prec,1.0
451,tmdb-tvdb,EAGER RF,prec,1.0
452,tmdb-tvdb,EAGER MLP,prec,0.998696219035202
453,tmdb-tvdb,EAGER RF,prec,0.9986928104575163
454,tmdb-tvdb,EAGER MLP,prec,0.9986945169712794
455,tmdb-tvdb,EAGER RF,prec,0.9986928104575163
456,tmdb-tvdb,EAGER MLP,prec,0.9896103896103896
457,tmdb-tvdb,EAGER RF,prec,0.9947643979057592
458,tmdb-tvdb,EAGER MLP,prec,1.0
459,tmdb-tvdb,EAGER RF,prec,1.0
460,imdb-tvdb,EAGER MLP,prec,1.0
461,imdb-tvdb,EAGER RF,prec,0.998696219035202
462,imdb-tvdb,EAGER MLP,prec,0.9974842767295596
463,imdb-tvdb,EAGER RF,prec,0.9962406015037594
464,imdb-tvdb,EAGER MLP,prec,0.998706338939198
465,imdb-tvdb,EAGER RF,prec,1.0
466,imdb-tvdb,EAGER MLP,prec,1.0
467,imdb-tvdb,EAGER RF,prec,0.9961190168175936
468,imdb-tvdb,EAGER MLP,prec,0.9973684210526316
469,imdb-tvdb,EAGER RF,prec,0.9986754966887416
470,abt-buy,DeepMatcher,rec,0.9869622039794922
471,abt-buy,DeepMatcher,rec,0.9791666412353516
472,abt-buy,DeepMatcher,rec,0.9765625
473,abt-buy,DeepMatcher,rec,0.98828125
474,abt-buy,DeepMatcher,rec,0.96875
475,dblp-scholar,DeepMatcher,rec,0.9981293487548828
476,dblp-scholar,DeepMatcher,rec,0.9959925079345705
477,dblp-scholar,DeepMatcher,rec,0.9951910400390623
478,dblp-scholar,DeepMatcher,rec,0.9978627014160156
479,dblp-scholar,DeepMatcher,rec,0.9970611572265624
480,tmdb-tvdb,DeepMatcher,rec,0.9965477752685549
481,tmdb-tvdb,DeepMatcher,rec,0.9976985168457031
482,tmdb-tvdb,DeepMatcher,rec,0.9982738494873048
483,tmdb-tvdb,DeepMatcher,rec,1.0
484,tmdb-tvdb,DeepMatcher,rec,0.9994245910644531
485,amazon-google,DeepMatcher,rec,0.7989010620117187
486,amazon-google,DeepMatcher,rec,0.8274725341796875
487,amazon-google,DeepMatcher,rec,0.9043955993652344
488,amazon-google,DeepMatcher,rec,0.8087911987304688
489,amazon-google,DeepMatcher,rec,0.8417582702636719
490,imdb-tmdb,DeepMatcher,rec,0.9963872528076172
491,imdb-tmdb,DeepMatcher,rec,0.9971118927001952
492,imdb-tmdb,DeepMatcher,rec,0.9985549163818359
493,imdb-tmdb,DeepMatcher,rec,0.9992779541015624
494,imdb-tmdb,DeepMatcher,rec,0.994945831298828
495,dblp-acm,DeepMatcher,rec,1.0
496,dblp-acm,DeepMatcher,rec,1.0
497,dblp-acm,DeepMatcher,rec,0.9987155151367187
498,dblp-acm,DeepMatcher,rec,0.9980731964111328
499,dblp-acm,DeepMatcher,rec,1.0
500,imdb-tvdb,DeepMatcher,rec,0.9977024841308594
501,imdb-tvdb,DeepMatcher,rec,0.9977037811279296
502,imdb-tvdb,DeepMatcher,rec,0.9931073760986329
503,imdb-tvdb,DeepMatcher,rec,0.9977037811279296
504,imdb-tvdb,DeepMatcher,rec,0.9919632720947266
505,abt-buy,Magellan XGBoost,rec,0.9804432855280312
506,abt-buy,Magellan RF,rec,0.9830508474576272
507,abt-buy,Magellan XGBoost,rec,0.9804432855280312
508,abt-buy,Magellan RF,rec,0.9830508474576272
509,abt-buy,Magellan XGBoost,rec,0.9804432855280312
510,abt-buy,Magellan RF,rec,0.9830508474576272
511,abt-buy,Magellan XGBoost,rec,0.9804432855280312
512,abt-buy,Magellan RF,rec,0.9830508474576272
513,abt-buy,Magellan XGBoost,rec,0.9804432855280312
514,abt-buy,Magellan RF,rec,0.9830508474576272
515,dblp-scholar,Magellan XGBoost,rec,0.9983965793693212
516,dblp-scholar,Magellan RF,rec,0.9978621058257616
517,dblp-scholar,Magellan XGBoost,rec,0.9983965793693212
518,dblp-scholar,Magellan RF,rec,0.9978621058257616
519,dblp-scholar,Magellan XGBoost,rec,0.9983965793693212
520,dblp-scholar,Magellan RF,rec,0.9978621058257616
521,dblp-scholar,Magellan XGBoost,rec,0.9983965793693212
522,dblp-scholar,Magellan RF,rec,0.9978621058257616
523,dblp-scholar,Magellan XGBoost,rec,0.9983965793693212
524,dblp-scholar,Magellan RF,rec,0.9978621058257616
525,imdb-tmdb,Magellan XGBoost,rec,0.9942196531791908
526,imdb-tmdb,Magellan RF,rec,0.9971098265895952
527,imdb-tmdb,Magellan XGBoost,rec,0.9942196531791908
528,imdb-tmdb,Magellan RF,rec,0.9978323699421964
529,imdb-tmdb,Magellan XGBoost,rec,0.9942196531791908
530,imdb-tmdb,Magellan RF,rec,0.9985549132947976
531,imdb-tmdb,Magellan XGBoost,rec,0.9942196531791908
532,imdb-tmdb,Magellan RF,rec,0.9978323699421964
533,imdb-tmdb,Magellan XGBoost,rec,0.9942196531791908
534,imdb-tmdb,Magellan RF,rec,0.9978323699421964
535,tmdb-tvdb,Magellan XGBoost,rec,0.9936708860759492
536,tmdb-tvdb,Magellan RF,rec,0.9971231300345224
537,tmdb-tvdb,Magellan XGBoost,rec,0.9936708860759492
538,tmdb-tvdb,Magellan RF,rec,0.9976985040276178
539,tmdb-tvdb,Magellan XGBoost,rec,0.9936708860759492
540,tmdb-tvdb,Magellan RF,rec,0.9976985040276178
541,tmdb-tvdb,Magellan XGBoost,rec,0.9936708860759492
542,tmdb-tvdb,Magellan RF,rec,0.9971231300345224
543,tmdb-tvdb,Magellan XGBoost,rec,0.9936708860759492
544,tmdb-tvdb,Magellan RF,rec,0.996547756041427
545,dblp-acm,Magellan XGBoost,rec,0.9967866323907456
546,dblp-acm,Magellan RF,rec,0.9967866323907456
547,dblp-acm,Magellan XGBoost,rec,0.9967866323907456
548,dblp-acm,Magellan RF,rec,0.9967866323907456
549,dblp-acm,Magellan XGBoost,rec,0.9967866323907456
550,dblp-acm,Magellan RF,rec,0.9974293059125964
551,dblp-acm,Magellan XGBoost,rec,0.9967866323907456
552,dblp-acm,Magellan RF,rec,0.9967866323907456
553,dblp-acm,Magellan XGBoost,rec,0.9967866323907456
554,dblp-acm,Magellan RF,rec,0.9967866323907456
555,imdb-tvdb,Magellan XGBoost,rec,0.9919586444572084
556,imdb-tvdb,Magellan RF,rec,0.9948305571510626
557,imdb-tvdb,Magellan XGBoost,rec,0.9919586444572084
558,imdb-tvdb,Magellan RF,rec,0.9948305571510626
559,imdb-tvdb,Magellan XGBoost,rec,0.9919586444572084
560,imdb-tvdb,Magellan RF,rec,0.9948305571510626
561,imdb-tvdb,Magellan XGBoost,rec,0.9919586444572084
562,imdb-tvdb,Magellan RF,rec,0.9948305571510626
563,imdb-tvdb,Magellan XGBoost,rec,0.9919586444572084
564,imdb-tvdb,Magellan RF,rec,0.9948305571510626
565,abt-buy,Magellan XGBoost,rec,0.9804432855280312
566,abt-buy,Magellan RF,rec,0.9830508474576272
567,abt-buy,Magellan XGBoost,rec,0.9739583333333334
568,abt-buy,Magellan RF,rec,0.9713541666666666
569,abt-buy,Magellan XGBoost,rec,0.9869791666666666
570,abt-buy,Magellan RF,rec,0.9791666666666666
571,abt-buy,Magellan XGBoost,rec,0.9622395833333334
572,abt-buy,Magellan RF,rec,0.96484375
573,abt-buy,Magellan XGBoost,rec,0.9713541666666666
574,abt-buy,Magellan RF,rec,0.9791666666666666
575,amazon-google,Magellan XGBoost,rec,0.6868131868131868
576,amazon-google,Magellan RF,rec,0.6615384615384615
577,amazon-google,Magellan XGBoost,rec,0.7296703296703296
578,amazon-google,Magellan RF,rec,0.6934065934065934
579,amazon-google,Magellan XGBoost,rec,0.7505494505494505
580,amazon-google,Magellan RF,rec,0.7384615384615385
581,amazon-google,Magellan XGBoost,rec,0.7021978021978021
582,amazon-google,Magellan RF,rec,0.6736263736263737
583,amazon-google,Magellan XGBoost,rec,0.6890109890109891
584,amazon-google,Magellan RF,rec,0.6978021978021978
585,dblp-scholar,Magellan XGBoost,rec,0.9965259219668626
586,dblp-scholar,Magellan RF,rec,0.9970603955104222
587,dblp-scholar,Magellan XGBoost,rec,0.9975955116216938
588,dblp-scholar,Magellan RF,rec,0.998397007747796
589,dblp-scholar,Magellan XGBoost,rec,0.9965268501202244
590,dblp-scholar,Magellan RF,rec,0.9965268501202244
591,dblp-scholar,Magellan XGBoost,rec,0.9957253539941224
592,dblp-scholar,Magellan RF,rec,0.995458188618755
593,dblp-scholar,Magellan XGBoost,rec,0.9943895271172856
594,dblp-scholar,Magellan RF,rec,0.994656692492653
595,imdb-tmdb,Magellan XGBoost,rec,0.9942196531791908
596,imdb-tmdb,Magellan RF,rec,0.9978323699421964
597,imdb-tmdb,Magellan XGBoost,rec,0.9848375451263538
598,imdb-tmdb,Magellan RF,rec,0.9935018050541516
599,imdb-tmdb,Magellan XGBoost,rec,0.9942196531791908
600,imdb-tmdb,Magellan RF,rec,0.9971098265895952
601,imdb-tmdb,Magellan XGBoost,rec,0.9956678700361012
602,imdb-tmdb,Magellan RF,rec,0.9949458483754512
603,imdb-tmdb,Magellan XGBoost,rec,0.9862815884476536
604,imdb-tmdb,Magellan RF,rec,0.992057761732852
605,tmdb-tvdb,Magellan XGBoost,rec,0.9936708860759492
606,tmdb-tvdb,Magellan RF,rec,0.9971231300345224
607,tmdb-tvdb,Magellan XGBoost,rec,0.9936708860759492
608,tmdb-tvdb,Magellan RF,rec,0.9942462600690448
609,tmdb-tvdb,Magellan XGBoost,rec,0.9930955120828538
610,tmdb-tvdb,Magellan RF,rec,0.9982738780207134
611,tmdb-tvdb,Magellan XGBoost,rec,0.9959723820483314
612,tmdb-tvdb,Magellan RF,rec,0.9982738780207134
613,tmdb-tvdb,Magellan XGBoost,rec,0.9982738780207134
614,tmdb-tvdb,Magellan RF,rec,0.9982738780207134
615,dblp-acm,Magellan XGBoost,rec,0.9967866323907456
616,dblp-acm,Magellan RF,rec,0.9967866323907456
617,dblp-acm,Magellan XGBoost,rec,0.9967886962106616
618,dblp-acm,Magellan RF,rec,0.9980732177263968
619,dblp-acm,Magellan XGBoost,rec,1.0
620,dblp-acm,Magellan RF,rec,0.9993577392421324
621,dblp-acm,Magellan XGBoost,rec,1.0
622,dblp-acm,Magellan RF,rec,1.0
623,dblp-acm,Magellan XGBoost,rec,0.9961464354527938
624,dblp-acm,Magellan RF,rec,0.9974309569685292
625,imdb-tvdb,Magellan XGBoost,rec,0.9919586444572084
626,imdb-tvdb,Magellan RF,rec,0.9948305571510626
627,imdb-tvdb,Magellan XGBoost,rec,0.9936854190585532
628,imdb-tvdb,Magellan RF,rec,0.9954075774971296
629,imdb-tvdb,Magellan XGBoost,rec,0.9919586444572084
630,imdb-tvdb,Magellan RF,rec,0.996553704767375
631,imdb-tvdb,Magellan XGBoost,rec,0.9977037887485648
632,imdb-tvdb,Magellan RF,rec,0.997129735935706
633,imdb-tvdb,Magellan XGBoost,rec,0.9965556831228471
634,imdb-tvdb,Magellan RF,rec,0.9988518943742823
635,abt-buy,EAGER MLP,rec,0.9739243807040416
636,abt-buy,EAGER RF,rec,0.9765319426336376
637,abt-buy,EAGER MLP,rec,0.95703125
638,abt-buy,EAGER RF,rec,0.9778645833333334
639,abt-buy,EAGER MLP,rec,0.9674479166666666
640,abt-buy,EAGER RF,rec,0.9739583333333334
641,abt-buy,EAGER MLP,rec,0.9752604166666666
642,abt-buy,EAGER RF,rec,0.96484375
643,abt-buy,EAGER MLP,rec,0.9583333333333334
644,abt-buy,EAGER RF,rec,0.95703125
645,amazon-google,EAGER MLP,rec,0.9637362637362638
646,amazon-google,EAGER RF,rec,0.9747252747252748
647,amazon-google,EAGER MLP,rec,0.9637362637362638
648,amazon-google,EAGER RF,rec,0.9824175824175824
649,amazon-google,EAGER MLP,rec,0.9846153846153848
650,amazon-google,EAGER RF,rec,0.9802197802197802
651,amazon-google,EAGER MLP,rec,0.956043956043956
652,amazon-google,EAGER RF,rec,0.9736263736263736
653,amazon-google,EAGER MLP,rec,0.9615384615384616
654,amazon-google,EAGER RF,rec,0.9714285714285714
655,dblp-scholar,EAGER MLP,rec,0.9943880277926244
656,dblp-scholar,EAGER RF,rec,0.9965259219668626
657,dblp-scholar,EAGER MLP,rec,0.9877103927331018
658,dblp-scholar,EAGER RF,rec,0.9957253539941224
659,dblp-scholar,EAGER MLP,rec,0.9941223617419184
660,dblp-scholar,EAGER RF,rec,0.9967940154955918
661,dblp-scholar,EAGER MLP,rec,0.991717873363612
662,dblp-scholar,EAGER RF,rec,0.9975955116216938
663,dblp-scholar,EAGER MLP,rec,0.9895805503606732
664,dblp-scholar,EAGER RF,rec,0.9933208656158162
665,dblp-acm,EAGER MLP,rec,0.9967866323907456
666,dblp-acm,EAGER RF,rec,0.9987146529562982
667,dblp-acm,EAGER MLP,rec,0.993577392421323
668,dblp-acm,EAGER RF,rec,0.9942196531791908
669,dblp-acm,EAGER MLP,rec,0.995504174694926
670,dblp-acm,EAGER RF,rec,0.9942196531791908
671,dblp-acm,EAGER MLP,rec,0.9903660886319846
672,dblp-acm,EAGER RF,rec,0.99165061014772
673,dblp-acm,EAGER MLP,rec,0.9942196531791908
674,dblp-acm,EAGER RF,rec,0.995504174694926
675,imdb-tmdb,EAGER MLP,rec,0.9927378358750908
676,imdb-tmdb,EAGER RF,rec,0.9883805374001452
677,imdb-tmdb,EAGER MLP,rec,0.9963662790697676
678,imdb-tmdb,EAGER RF,rec,0.9963662790697676
679,imdb-tmdb,EAGER MLP,rec,0.9927325581395348
680,imdb-tmdb,EAGER RF,rec,0.9898255813953488
681,imdb-tmdb,EAGER MLP,rec,0.9970972423802612
682,imdb-tmdb,EAGER RF,rec,0.995645863570392
683,imdb-tmdb,EAGER MLP,rec,0.9970993473531544
684,imdb-tmdb,EAGER RF,rec,0.9963741841914432
685,tmdb-tvdb,EAGER MLP,rec,0.9936143039591316
686,tmdb-tvdb,EAGER RF,rec,0.9961685823754788
687,tmdb-tvdb,EAGER MLP,rec,0.993514915693904
688,tmdb-tvdb,EAGER RF,rec,0.9909208819714656
689,tmdb-tvdb,EAGER MLP,rec,0.9909326424870466
690,tmdb-tvdb,EAGER RF,rec,0.9896373056994818
691,tmdb-tvdb,EAGER MLP,rec,0.9973821989528796
692,tmdb-tvdb,EAGER RF,rec,0.9947643979057592
693,tmdb-tvdb,EAGER MLP,rec,0.9961190168175936
694,tmdb-tvdb,EAGER RF,rec,0.9961190168175936
695,imdb-tvdb,EAGER MLP,rec,0.9896640826873384
696,imdb-tvdb,EAGER RF,rec,0.9896640826873384
697,imdb-tvdb,EAGER MLP,rec,0.99125
698,imdb-tvdb,EAGER RF,rec,0.99375
699,imdb-tvdb,EAGER MLP,rec,0.9974160206718348
700,imdb-tvdb,EAGER RF,rec,0.996124031007752
701,imdb-tvdb,EAGER MLP,rec,0.996124031007752
702,imdb-tvdb,EAGER RF,rec,0.9948320413436692
703,imdb-tvdb,EAGER MLP,rec,1.0
704,imdb-tvdb,EAGER RF,rec,0.9947229551451188
